Name,Authors,Publication Info,Year,URL
What is retrieval-augmented generation?,"K Martineau, AI Explainable, AI Generative",IBM Research Blog - research.ibm.com,2023,https://research.ibm.com/blog/retrieval-augmented-generation-RAG?ref=blog.getdataring.com
Explainable ai for time series via virtual inspection layers,"J Vielhaben, S Lapuschkin, G Montavon, W Samek",Pattern Recognition - Elsevier,2024,https://www.sciencedirect.com/science/article/pii/S0031320324000608
Explainable artificial intelligence for developing smart cities solutions,"D Thakker, BK Mishra, A Abdullatif, S Mazumdar…",Smart Cities - mdpi.com,2020,https://www.mdpi.com/2624-6511/3/4/65/pdf
Knowledge graph embeddings and explainable AI,"F Bianchi, G Rossiello, L Costabello…",… Explainable Artificial … - ebooks.iospress.nl,2020,https://arxiv.org/pdf/2004.14843
Explainable artificial intelligence model for stroke prediction using EEG signal,"MS Islam, I Hussain, MM Rahman, SJ Park…",Sensors - mdpi.com,2022,https://www.mdpi.com/1424-8220/22/24/9859/pdf
The challenge of zero touch and explainable ai,"B Dutta, A Krichel, MP Odini",Journal of ICT Standardization - ieeexplore.ieee.org,2021,https://ieeexplore.ieee.org/iel7/10251929/10255460/10255474.pdf
Single-cell gene regulatory network prediction by explainable AI,"P Keyl, P Bischoff, G Dernbach…",Nucleic Acids … - academic.oup.com,2023,https://academic.oup.com/nar/article-pdf/51/4/e20/49355493/gkac1212.pdf
Counterfactuals in explainable artificial intelligence (XAI): Evidence from human reasoning.,RMJ Byrne,IJCAI - researchgate.net,2019,https://www.researchgate.net/profile/Ruth-Byrne-3/publication/334844529_Counterfactuals_in_Explainable_Artificial_Intelligence_XAI_Evidence_from_Human_Reasoning/links/6123d4160c2bfa282a6505dd/Counterfactuals-in-Explainable-Artificial-Intelligence-XAI-Evidence-from-Human-Reasoning.pdf
"Hands-On Explainable AI (XAI) with Python: Interpret, visualize, explain, and integrate reliable AI for fair, secure, and trustworthy AI apps",Unknown,Unknown,Unknown,
Language Model Interpretability-Explainable AI Methods: Exploring explainable AI methods for interpreting and explaining the decisions made by language models to …,"S Maruthi, SB Dodda, RR Yellu…",… Journal of Machine … - sydneyacademics.com,2022,https://sydneyacademics.com/index.php/ajmlra/article/download/19/18
Effects of Explainable Artificial Intelligence on trust and human behavior in a high-risk decision task,"B Leichtmann, C Humer, A Hinterreiter, M Streit…",Computers in Human … - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S0747563222003594
From kepler to newton: Explainable ai for science discovery,"Z Li, J Ji, Y Zhang",arXiv preprint arXiv:2111.12210 - researchgate.net,2021,https://www.researchgate.net/profile/Yongfeng-Zhang-3/publication/356525236_From_Kepler_to_Newton_Explainable_AI_for_Science_Discovery/links/6230f9200837bf2b9ed9d4d3/From-Kepler-to-Newton-Explainable-AI-for-Science-Discovery.pdf
Looking in the right place for anomalies: Explainable Ai through automatic location learning,"S Kashyap, A Karargyris, J Wu, Y Gur…",2020 IEEE 17th … - ieeexplore.ieee.org,2020,https://arxiv.org/pdf/2008.00363
Explainable AI in big data intelligence of community detection for digitalization e-healthcare services,"AK Sangaiah, S Rezaei, A Javadpour, W Zhang",Applied Soft Computing - Elsevier,2023,https://research.rug.nl/files/845721054/1-s2.0-S1568494623001370-main.pdf
Artificial cognition: How experimental psychology can help generate explainable artificial intelligence,"JET Taylor, GW Taylor",Psychonomic Bulletin & Review - Springer,2021,https://link.springer.com/content/pdf/10.3758/s13423-020-01825-5.pdf
Critical thinking about explainable AI (XAI) for rule-based fuzzy systems,"JM Mendel, PP Bonissone",IEEE Transactions on Fuzzy … - ieeexplore.ieee.org,2021,
FCE: Feedback based counterfactual explanations for explainable AI,"M Suffian, P Graziani, JM Alonso, A Bogliolo",IEEE Access - ieeexplore.ieee.org,2022,https://ieeexplore.ieee.org/iel7/6287639/9668973/09819899.pdf
Towards domain-specific explainable AI: model interpretation of a skin image classifier using a human approach,"F Stieler, F Rabe, B Bauer",… of the IEEE/CVF Conference on … - openaccess.thecvf.com,2021,https://openaccess.thecvf.com/content/CVPR2021W/ISIC/papers/Stieler_Towards_Domain-Specific_Explainable_AI_Model_Interpretation_of_a_Skin_Image_CVPRW_2021_paper.pdf
Utilizing explainable AI for quantization and pruning of deep neural networks,"M Sabih, F Hannig, J Teich",arXiv preprint arXiv:2008.09072 - arxiv.org,2020,https://arxiv.org/pdf/2008.09072
Explainable AI: A brief History of the Concept,M Héder,Ercim News - eprints.sztaki.hu,2023,https://eprints.sztaki.hu/10535/1/Heder_34045191_ny.pdf
Explainable artificial intelligence in skin cancer recognition: A systematic review,"K Hauser, A Kurz, S Haggenmüller, RC Maron…",European Journal of … - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S095980492200123X
Learn2Sign: Explainable AI for Sign Language Learning.,"P Paudyal, J Lee, A Kamzin…",IUI … - explainablesystems.comp.nus.edu …,2019,http://explainablesystems.comp.nus.edu.sg/2019/wp-content/uploads/2019/02/IUI19WS-ExSS2019-13.pdf
On quantifying literals in Boolean logic and its applications to explainable AI,"A Darwiche, P Marquis",Journal of Artificial Intelligence Research - jair.org,2021,https://www.jair.org/index.php/jair/article/download/12756/26725
Using human-in-the-loop and explainable AI to envisage new future work practices,"K Tsiakas, D Murray-Rust",… of the 15th International Conference on … - dl.acm.org,2022,https://dl.acm.org/doi/pdf/10.1145/3529190.3534779
Towards design principles for user-centric explainable AI in fraud detection,"D Cirqueira, M Helfert, M Bezbradica",International Conference on Human … - Springer,2021,https://doras.dcu.ie/26056/1/Post_Print_CameraReady_HCII_2021_Towards_Design_Principles_for_User_Centric_Explainable_AI_in_Fraud_Detection.pdf
Explainable ai for medical imaging: Knowledge matters,"P Bourdon, OB Ahmed, T Urruty, K Djemal…",Multi-faceted Deep … - Springer,2021,
Explainable artificial intelligence (xai) in insurance,"E Owens, B Sheehan, M Mullins, M Cunneen, J Ressel…",Risks - mdpi.com,2022,https://www.mdpi.com/2227-9091/10/12/230/pdf
"Explainable AI for Medical Data: Current Methods, Limitations, and Future Directions","MI Hossain, G Zamzmi, PR Mouton, MS Salekin…",ACM Computing … - dl.acm.org,2023,https://dl.acm.org/doi/pdf/10.1145/3637487
User trust and understanding of explainable ai: Exploring algorithm visualisations and user biases,"D Branley-Bell, R Whitworth, L Coventry",International Conference on … - Springer,2020,
Explainable artificial intelligence (XAI) to enhance trust management in intrusion detection systems using decision tree model,"B Mahbooba, M Timilsina, R Sahal, M Serrano",Complexity - Wiley Online Library,2021,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2021/6634811
Explainable artificial intelligence (XAI) in manufacturing,TCT Chen,Explainable Artificial Intelligence (XAI) in … - Springer,2023,
A systematic review on the use of explainability in deep learning systems for computer aided diagnosis in radiology: Limited use of explainable AI?,"AM Groen, R Kraan, SF Amirkhan, JG Daams…",European Journal of … - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S0720048X22004429
Mitigating belief projection in explainable artificial intelligence via Bayesian teaching,"SCH Yang, WK Vong, RB Sojitra, T Folke, P Shafto",Scientific reports - nature.com,2021,https://www.nature.com/articles/s41598-021-89267-4.pdf
Enhancing cluster analysis with explainable AI and multidimensional cluster prototypes,"S Bobek, M Kuk, M Szelążek, GJ Nalepa",IEEE Access - ieeexplore.ieee.org,2022,https://ieeexplore.ieee.org/iel7/6287639/6514899/09900312.pdf
Impossible explanations? Beyond explainable AI in the GDPR from a COVID-19 use case scenario,"R Hamon, H Junklewitz, G Malgieri, PD Hert…",Proceedings of the … - dl.acm.org,2021,
An explainable AI system for automated COVID-19 assessment and lesion categorization from CT-scans,"M Pennisi, I Kavasidis, C Spampinato…",Artificial intelligence in … - Elsevier,2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8139171/
Explainable AI for medical imaging: explaining pneumothorax diagnoses with Bayesian teaching,"T Folke, SCH Yang, S Anderson…",Artificial Intelligence and … - spiedigitallibrary.org,2021,https://arxiv.org/pdf/2106.04684
"Metaverse in healthcare integrated with explainable AI and blockchain: enabling immersiveness, ensuring trust, and providing patient data security","S Ali, Abdullah, TPT Armand, A Athar, A Hussain, M Ali…",Sensors - mdpi.com,2023,https://www.mdpi.com/1424-8220/23/2/565/pdf
"A path toward explainable AI and autonomous adaptive intelligence: deep learning, adaptive resonance, and models of perception, emotion, and action",S Grossberg,Frontiers in neurorobotics - frontiersin.org,2020,https://www.frontiersin.org/articles/10.3389/fnbot.2020.00036/full?trk=public_post_comment-text
Scientific exploration and explainable artificial intelligence,"C Zednik, H Boelsen",Minds and Machines - Springer,2022,https://link.springer.com/content/pdf/10.1007/s11023-021-09583-6.pdf
Incorporating Explainable Artificial Intelligence (XAI) to aid the Understanding of Machine Learning in the Healthcare Domain.,"U Pawar, D O'Shea, S Rea, R O'Reilly",Aics - researchgate.net,2020,https://www.researchgate.net/profile/Ruairi-Oreilly/publication/346717871_Incorporating_Explainable_Artificial_Intelligence_XAI_to_aid_the_Understanding_of_Machine_Learning_in_the_Healthcare_Domain/links/5fd9374e299bf1408811d849/Incorporating-Explainable-Artificial-Intelligence-XAI-to-aid-the-Understanding-of-Machine-Learning-in-the-Healthcare-Domain.pdf
Explainable AI in Healthcare: Enhancing transparency and trust upon legal and ethical consideration,"MN Alam, M Kaur, MS Kabir",Int Res J Eng Technol - researchgate.net,2023,https://www.researchgate.net/profile/Md-Shahin-Kabir-2/publication/371811539_Explainable_AI_in_Healthcare_Enhancing_Transparency_and_Trust_upon_Legal_and_Ethical_Consideration/links/6496a18fc41fb852dd2c8d99/Explainable-AI-in-Healthcare-Enhancing-Transparency-and-Trust-upon-Legal-and-Ethical-Consideration.pdf
Designing a feature selection method based on explainable artificial intelligence,"J Zacharias, M von Zahn, J Chen, O Hinz",Electronic Markets - Springer,2022,https://link.springer.com/content/pdf/10.1007/s12525-022-00608-1.pdf
Explainable AI to understand study interest of engineering students,"S Ghosh, MS Kamal, L Chowdhury, B Neogi…",Education and … - Springer,2024,
Exploring deterministic frequency deviations with explainable AI,"J Kruse, B Schäfer, D Witthaut",2021 IEEE International … - ieeexplore.ieee.org,2021,https://arxiv.org/pdf/2106.09538
"Measures for explainable AI: Explanation goodness, user satisfaction, mental models, curiosity, trust, and human-AI performance","RR Hoffman, ST Mueller, G Klein…",Frontiers in Computer … - frontiersin.org,2023,https://www.frontiersin.org/articles/10.3389/fcomp.2023.1096257/pdf
Explainable artificial intelligence for predictive maintenance applications,S Matzka,… international conference on artificial intelligence for … - ieeexplore.ieee.org,2020,
Explainable artificial intelligence in information systems: A review of the status quo and future research directions,"J Brasse, HR Broder, M Förster, M Klier, I Sigler",Electronic Markets - Springer,2023,https://link.springer.com/content/pdf/10.1007/s12525-023-00644-5.pdf
"A systematic review of trustworthy and explainable artificial intelligence in healthcare: Assessment of quality, bias risk, and data fusion","AS Albahri, AM Duhaim, MA Fadhel, A Alnoor…",Information … - Elsevier,2023,https://drive.google.com/file/d/1LM434GvlmCFF5laSYuh5DM-q7mgnna_T/view
Interpreting learning models in manufacturing processes: towards explainable AI methods to improve trust in classifier predictions,"CV Goldman, M Baltaxe, D Chakraborty…",Journal of Industrial … - Elsevier,2023,
What do you see? Evaluation of explainable artificial intelligence (XAI) interpretability through neural backdoors,"YS Lin, WC Lee, ZB Celik",Proceedings of the 27th ACM SIGKDD … - dl.acm.org,2021,https://dl.acm.org/doi/pdf/10.1145/3447548.3467213
Explainable AI Beer Style Classifier.,"JM Alonso, A Ramos-Soto, C Castiello, C Mencar",SICSA ReaLX - ceur-ws.org,2018,https://ceur-ws.org/Vol-2151/Paper_S1.pdf
Explainable artificial intelligence: An updated perspective,"A Krajna, M Kovac, M Brcic…",2022 45th Jubilee … - ieeexplore.ieee.org,2022,https://www.researchgate.net/profile/Mario-Brcic/publication/358738452_Explainable_Artificial_Intelligence_An_updated_perspective/links/6259de07a279ec5dd7f92388/Explainable-Artificial-Intelligence-An-updated-perspective.pdf
Benchmarking eXplainable AI-A Survey on Available Toolkits and Open Challenges.,"PQ Le, M Nauta, SP Van Bach Nguyen, S Pathak…",IJCAI - ijcai.org,2023,https://www.ijcai.org/proceedings/2023/0747.pdf
Explainable artificial intelligence for safe intraoperative decision support,"L Gordon, T Grantcharov, F Rudzicz",JAMA surgery - jamanetwork.com,2019,https://www.cs.toronto.edu/~frank/Download/GordonGrantcharovRudzicz-2019-ExplainableArtificialIntelligenceforSafeIntraoperativeDecisionSupport.pdf
Explainable AI meets persuasiveness: Translating reasoning results into behavioral change advice,"M Dragoni, I Donadello, C Eccher",Artificial Intelligence in Medicine - Elsevier,2020,https://cris.fbk.eu/bitstream/11582/321930/1/AIME___Explainability%20%284%29.pdf
Explainable ai (xai) and its applications in building trust and understanding in ai decision making,R Tiwari,International J. Sci. Res. Eng. Manag - researchgate.net,2023,https://www.researchgate.net/profile/Rudra-Tiwari-2/publication/367462968_Explainable_AI_XAI_and_its_Applications_in_Building_Trust_and_Understanding_in_AI_Decision_Making/links/63d35ad364fc860638ee8658/Explainable-AI-XAI-and-its-Applications-in-Building-Trust-and-Understanding-in-AI-Decision-Making.pdf
Gaining insight into solar photovoltaic power generation forecasting utilizing explainable artificial intelligence tools,"M Kuzlu, U Cali, V Sharma, Ö Güler",Ieee Access - ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/iel7/6287639/8948470/09225146.pdf
Explainable AI for enhanced decision-making,"K Coussement, MZ Abedin, M Kraus…",Decision Support … - Elsevier,2024,
On explainable AI solutions for targeting in cyber military operations,C Maathuis,International Conference on Cyber Warfare and … - books.google.com,2022,https://papers.academic-conferences.org/index.php/iccws/article/download/38/23
Explainable artificial intelligence the new frontier in legal informatics,"B Waltl, R Vogl",Jusletter IT - wwwmatthes.in.tum.de,2018,https://wwwmatthes.in.tum.de/file/13tkeaid0rhkz/Sebis-Public-Website/-/Explainable-Artificial-Intelligence-the-New-Frontier-in-Legal-Informatics/Wa18a.pdf
Explainable AI and adoption of financial algorithmic advisors: an experimental study,"D Ben David, YS Resheff, T Tron",… 2021 AAAI/ACM Conference on AI … - dl.acm.org,2021,https://arxiv.org/pdf/2101.02555
Trust indicators and explainable AI: A study on user perceptions,"D Ribes, N Henchoz, H Portier, L Defayes…",… –INTERACT 2021: 18th … - Springer,2021,https://inria.hal.science/hal-04196849/file/520516_1_En_39_Chapter.pdf
An explainable artificial intelligence predictor for early detection of sepsis,"M Yang, C Liu, X Wang, Y Li, H Gao, X Liu…",Critical care … - journals.lww.com,2020,
The Virtual Operative Assistant: An explainable artificial intelligence tool for simulation-based training in surgery and medicine,"N Mirchi, V Bissonnette, R Yilmaz, N Ledwos…",PloS one - journals.plos.org,2020,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0229596&type=printable
"Explainable artificial intelligence applications in NLP, biomedical, and malware classification: a literature review",SM Mathews,Intelligent Computing: Proceedings of the 2019 … - Springer,2019,
A survey on explainable artificial intelligence for cybersecurity,"G Rjoub, J Bentahar, OA Wahab…",… on Network and … - ieeexplore.ieee.org,2023,https://arxiv.org/pdf/2303.12942
Is explainable artificial intelligence intrinsically valuable?,N Colaner,AI & society - Springer,2022,
An improved explainable artificial intelligence tool in healthcare for hospital recommendation,"YC Wang, TCT Chen, MC Chiu",Healthcare Analytics - Elsevier,2023,https://www.sciencedirect.com/science/article/pii/S277244252300014X
[Retracted] Explainable AI in Diagnosing and Anticipating Leukemia Using Transfer Learning Method,"WH Abir, MF Uddin, FR Khanam, T Tazin…",Computational … - Wiley Online Library,2022,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/5140148
Revisiting the performance-explainability trade-off in explainable artificial intelligence (XAI),"B Crook, M Schlüter, T Speith",2023 IEEE 31st International … - ieeexplore.ieee.org,2023,https://arxiv.org/pdf/2307.14239
Explainable artificial intelligence for intrusion detection system,"S Patil, V Varadarajan, SM Mazhar, A Sahibzada…",Electronics - mdpi.com,2022,https://www.mdpi.com/2079-9292/11/19/3079/pdf
Explainable AI: The effect of contradictory decisions and explanations on users' acceptance of AI systems,"C Ebermann, M Selisky…",International Journal of … - Taylor & Francis,2023,
Od-xai: Explainable ai-based semantic object detection for autonomous vehicles,"H Mankodiya, D Jadav, R Gupta, S Tanwar, WC Hong…",Applied Sciences - mdpi.com,2022,https://www.mdpi.com/2076-3417/12/11/5310/pdf
Explainable ai for deep learning based disease detection,"S Kinger, V Kulkarni",Proceedings of the 2021 Thirteenth International … - dl.acm.org,2021,
Tangible explainable ai-an initial conceptual framework,"A Colley, K Väänänen, J Häkkilä",Proceedings of the 21st International … - dl.acm.org,2022,https://dl.acm.org/doi/pdf/10.1145/3568444.3568456
Exmed: An ai tool for experimenting explainable ai techniques on medical data analytics,"M Kapcia, H Eshkiki, J Duell, X Fan…",… artificial intelligence  … - ieeexplore.ieee.org,2021,https://cronfa.swan.ac.uk/Record/cronfa58534/Download/58534__21409__69ea74efe29f4576ba3d54dc6ed1b503.pdf
From black boxes to transparent machines: the quest for explainable AI,S Akhai,Available at SSRN 4390887 - papers.ssrn.com,2023,
An explainable AI model for interpretable lung disease classification,"V Pitroda, MM Fouda…",2021 IEEE international … - ieeexplore.ieee.org,2021,https://www2.cose.isu.edu/~mfouda/publications/IoTaIS53735.2021.9628573.pdf
Machine learning for predicting readmission risk among the frail: Explainable AI for healthcare,"SD Mohanty, D Lekan, TP McCoy, M Jenkins, P Manda",Patterns - cell.com,2022,https://www.cell.com/patterns/pdf/S2666-3899(21)00262-2.pdf
Embedded encoder-decoder in convolutional networks towards explainable AI,A Tavanaei,arXiv preprint arXiv:2007.06712 - arxiv.org,2020,https://arxiv.org/pdf/2007.06712
Explainable AI reveals changes in skin microbiome composition linked to phenotypic differences,"AP Carrieri, N Haiminen, S Maudsley-Barton…",Scientific reports - nature.com,2021,https://www.nature.com/articles/s41598-021-83922-6.pdf
Earliest possible global and local interpretation of students' performance in virtual learning environment by leveraging explainable AI,"M Adnan, MI Uddin, E Khan, FS Alharithi, S Amin…",IEEE … - ieeexplore.ieee.org,2022,https://ieeexplore.ieee.org/iel7/6287639/6514899/09970711.pdf
A meta-analysis of the utility of explainable artificial intelligence in human-AI decision-making,"M Schemmer, P Hemmer, M Nitsche, N Kühl…",… /ACM Conference on AI … - dl.acm.org,2022,https://arxiv.org/pdf/2205.05126
Earthquake-induced building-damage mapping using Explainable AI (XAI),"SS Matin, B Pradhan",Sensors - mdpi.com,2021,https://www.mdpi.com/1424-8220/21/13/4489/pdf
The effects of domain knowledge on trust in explainable AI and task performance: A case of peer-to-peer lending,"M Dikmen, C Burns",International Journal of Human-Computer Studies - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S1071581922000210
Towards explainable AI: Design and development for explanation of machine learning predictions for a patient readmittance medical application,"S Meacham, G Isaac, D Nauck, B Virginas",… Computing: Proceedings of … - Springer,2019,https://eprints.bournemouth.ac.uk/32562/1/Computing%20Conference%20XAI%20paper%20final%20published.pdf
Black box attacks on explainable artificial intelligence (XAI) methods in cyber security,"A Kuppa, NA Le-Khac",2020 International Joint Conference on … - ieeexplore.ieee.org,2020,
Evaluating explainable artificial intelligence methods for multi-label deep learning classification tasks in remote sensing,"I Kakogeorgiou, K Karantzalos",… Journal of Applied Earth Observation and … - Elsevier,2021,https://www.sciencedirect.com/science/article/pii/S0303243421002270
Explainable AI for machine fault diagnosis: understanding features' contribution in machine learning models for industrial condition monitoring,"E Brusa, L Cibrario, C Delprete, LG Di Maggio",Applied Sciences - mdpi.com,2023,https://www.mdpi.com/2076-3417/13/4/2038/pdf
Explainable artificial intelligence to detect atrial fibrillation using electrocardiogram,"YY Jo, Y Cho, SY Lee, J Kwon, KH Kim, KH Jeon…",International journal of … - Elsevier,2021,
Explainable AI in deep reinforcement learning models: A shap method applied in power system emergency control,"K Zhang, P Xu, J Zhang",2020 IEEE 4th conference on energy … - ieeexplore.ieee.org,2020,
Explainable artificial intelligence and interpretable machine learning for agricultural data analysis,M Ryo,Artificial Intelligence in Agriculture - Elsevier,2022,https://www.sciencedirect.com/science/article/pii/S2589721722000216
Medically-oriented design for explainable AI for stress prediction from physiological measurements,"D Jaber, H Hajj, F Maalouf, W El-Hajj",BMC Medical Informatics and … - Springer,2022,https://link.springer.com/content/pdf/10.1186/s12911-022-01772-2.pdf
Data-driven estimation of building energy consumption and GHG emissions using explainable artificial intelligence,"Y Zhang, BK Teoh, M Wu, J Chen, L Zhang",Energy - Elsevier,2023,
Wikipedia knowledge graph for explainable AI,"MK Sarker, J Schwartz, P Hitzler, L Zhou…",Knowledge Graphs and … - Springer,2020,https://www.academia.edu/download/86425267/2020_Wiki_KG_kgswc_conference.pdf
Explainable AI for bearing fault prognosis using deep learning techniques,"DC Sanakkayala, V Varadarajan, N Kumar, Karan…",Micromachines - mdpi.com,2022,https://www.mdpi.com/2072-666X/13/9/1471/pdf
Bridging the Transparency Gap: What Can Explainable AI Learn From the AI Act?,"B Gyevnar, N Ferguson, B Schafer",ECAI 2023 - ebooks.iospress.nl,2023,https://ebooks.iospress.nl/pdf/doi/10.3233/FAIA230367
Order in the court: Explainable ai methods prone to disagreement,"M Neely, SF Schouten, MJR Bleeker…",arXiv preprint arXiv … - arxiv.org,2021,https://arxiv.org/pdf/2105.03287
Interpretation of ensemble learning to predict water quality using explainable artificial intelligence,"J Park, WH Lee, KT Kim, CY Park, S Lee…",Science of the Total … - Elsevier,2022,
Ensemble image explainable AI (XAI) algorithm for severe community-acquired pneumonia and COVID-19 respiratory infections,"L Zou, HL Goh, CJY Liew, JL Quah…",… Artificial Intelligence - ieeexplore.ieee.org,2022,https://ieeexplore.ieee.org/iel7/9078688/9184921/09721585.pdf
Alzheimer's Disease Analysis using Explainable Artificial Intelligence (XAI),"KM Sudar, P Nagaraj, S Nithisaa…",… Computing and Data … - ieeexplore.ieee.org,2022,
Explainable artificial intelligence (xai) for intrusion detection and mitigation in intelligent connected vehicles: A review,"CI Nwakanma, LAC Ahakonye, JN Njoku…",Applied Sciences - mdpi.com,2023,https://www.mdpi.com/2076-3417/13/3/1252/pdf
Explainable AI (XAI) models applied to planning in financial markets,"E Benhamou, JJ Ohana, D Saltiel, B Guez…",SSRN Electron. J … - academia.edu,2021,https://www.academia.edu/download/98306849/pdf.pdf
Explainable AI toward understanding the performance of the top three TADPOLE Challenge methods in the forecast of Alzheimer's disease diagnosis,"M Hernandez, U Ramon-Julvez, F Ferraz…",PloS one - journals.plos.org,2022,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0264695&type=printable
"An engineer's guide to eXplainable Artificial Intelligence and Interpretable Machine Learning: Navigating causality, forced goodness, and the false perception of …",MZ Naser,Automation in Construction - Elsevier,2021,https://www.researchgate.net/profile/Mz-Naser/publication/352903948_An_Engineer's_Guide_to_eXplainable_Artificial_Intelligence_and_Interpretable_Machine_Learning_Navigating_Causality_Forced_Goodness_and_the_False_Perception_of_Inference/links/60df0aeb92851ca9449faae8/An-Engineers-Guide-to-eXplainable-Artificial-Intelligence-and-Interpretable-Machine-Learning-Navigating-Causality-Forced-Goodness-and-the-False-Perception-of-Inference.pdf
The enlightening role of explainable artificial intelligence in chronic wound classification,"S Sarp, M Kuzlu, E Wilson, U Cali, O Guler",Electronics - mdpi.com,2021,https://www.mdpi.com/2079-9292/10/12/1406/pdf
Impact of explainable ai on cognitive load: Insights from an empirical study,LV Herm,arXiv preprint arXiv:2304.08861 - arxiv.org,2023,https://arxiv.org/pdf/2304.08861
Xai-fr: explainable ai-based face recognition using deep neural networks,"A Rajpal, K Sehra, R Bagri, P Sikka",Wireless Personal Communications - Springer,2023,https://link.springer.com/content/pdf/10.1007/s11277-022-10127-z.pdf
Alzheimer's patient analysis using image and gene expression data and explainable-AI to present associated genes,"MS Kamal, A Northcote, L Chowdhury…",IEEE Transactions … - ieeexplore.ieee.org,2021,
An explainable artificial intelligence approach for unsupervised fault detection and diagnosis in rotating machinery,"LC Brito, GA Susto, JN Brito, MAV Duarte",Mechanical Systems and Signal … - Elsevier,2022,https://arxiv.org/pdf/2102.11848
Explainable Artificial Intelligence for Training and Tutoring.,"HC Lane, MG Core, M Van Lent, S Solomon…",AIED - academia.edu,2005,https://www.academia.edu/download/43818166/lane05-AIED.pdf
Versatile internet of things for agriculture: an explainable ai approach,"NL Tsakiridis, T Diamantopoulos…",Artificial Intelligence … - Springer,2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256588/
Explainable AI in aerospace for enhanced system performance,"S Sutthithatip, S Perinpanayagam…",2021 IEEE/AIAA 40th … - ieeexplore.ieee.org,2021,https://www.researchgate.net/profile/Sujitra-Sutthithatip/publication/356241721_Explainable_AI_in_Aerospace_for_Enhanced_System_Performance/links/6197911b61f0987720b33935/Explainable-AI-in-Aerospace-for-Enhanced-System-Performance.pdf
Employing explainable AI to optimize the return target function of a loan portfolio,"T Gramespacher, JA Posth",Frontiers in Artificial Intelligence - frontiersin.org,2021,https://www.frontiersin.org/articles/10.3389/frai.2021.693022/pdf
Dermatologist-like explainable AI enhances trust and confidence in diagnosing melanoma,"T Chanda, K Hauser, S Hobelsberger…",Nature … - nature.com,2024,https://www.nature.com/articles/s41467-023-43095-4.pdf
A critical review of inductive logic programming techniques for explainable AI,"Z Zhang, L Yilmaz, B Liu",IEEE Transactions on Neural … - ieeexplore.ieee.org,2023,https://arxiv.org/pdf/2112.15319
Combinatorial methods for explainable AI,"DR Kuhn, RN Kacker, Y Lei…",2020 IEEE international … - ieeexplore.ieee.org,2020,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=929551
"XGBoost, a novel explainable AI technique, in the prediction of myocardial infarction: a UK Biobank Cohort Study","A Moore, M Bell",Clinical Medicine Insights: Cardiology - journals.sagepub.com,2022,https://journals.sagepub.com/doi/pdf/10.1177/11795468221133611
Explainable AI reveals new hydroclimatic insights for ecosystem-centric groundwater management,"D Chakraborty, H Başağaoğlu…",Environmental … - iopscience.iop.org,2021,https://iopscience.iop.org/article/10.1088/1748-9326/ac2fde/pdf
Mental health diagnosis: a case for explainable artificial intelligence,"G Antoniou, E Papadakis…",… on Artificial Intelligence … - World Scientific,2022,https://pure.hud.ac.uk/ws/files/48277417/IJAIT_Mental_Health_Diagnosis_and_XAI_FINAL.pdf
Investigating the fidelity of explainable artificial intelligence methods for applications of convolutional neural networks in geoscience,"A Mamalakis, EA Barnes…",Artificial Intelligence for … - journals.ametsoc.org,2022,https://journals.ametsoc.org/downloadpdf/view/journals/aies/1/4/AIES-D-22-0012.1.pdf
Do we need another explainable AI method? Toward unifying post-hoc XAI evaluation methods into an interactive and multi-dimensional benchmark,"MK Belaid, E Hüllermeier, M Rabus…",arXiv preprint arXiv … - arxiv.org,2022,https://arxiv.org/pdf/2207.14160
Accurate auto-labeling of chest X-ray images based on quantitative similarity to an explainable AI model,"D Kim, J Chung, J Choi, MD Succi, J Conklin…",Nature … - nature.com,2022,https://www.nature.com/articles/s41467-022-29437-8.pdf
AI Trust: Can Explainable AI Enhance Warranted Trust?,"R de Brito Duarte, F Correia, P Arriaga…",Human Behavior and … - Wiley Online Library,2023,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2023/4637678
Informative feedback and explainable AI-based recommendations to support students' self-regulation,"M Afzaal, A Zia, J Nouri, U Fors","Technology, Knowledge and Learning - Springer",2024,https://link.springer.com/content/pdf/10.1007/s10758-023-09650-0.pdf
"Artificial intelligence, autonomy, and human-machine teams—interdependence, context, and explainable AI","WF Lawless, R Mittu, D Sofge, L Hiatt",Ai Magazine - ojs.aaai.org,2019,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/2866/5141
Explainable artificial intelligence via bayesian teaching,"SCH Yang, P Shafto",NIPS 2017 workshop on teaching machines … - shaftolab.com,2017,http://shaftolab.com/assets/papers/yangShafto_NIPS_2017_machine_teaching.pdf
